湖北省肿瘤医院EDGE直线加速器维保项目中标公告 | 2020.01.15 | 湖北省肿瘤医院 | 湖北省招标股份有限公司中标公告 | 湖北 | 服务/维修和保养服务/医疗设备维修和保养服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766203.htm
盘锦市兴隆台区交通运输局收购车辆残值评估机构及费用中标公告 | 2020.01.15 | 盘锦市兴隆台区交通运输局 | 辽宁万宸工程咨询有限公司中标公告 | 辽宁 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766204.htm
平原县公安局生活污水毒品含量检测项目中标公告 | 2020.01.15 | 平原县公安局 | 山东正方源项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766185.htm
济南市历下区园林绿化服务中心中林路（舜华北路-小汉峪沟）道路绿化提升工程审计服务中标公告 | 2020.01.15 | 济南市历下区园林绿化服务中心 | 山东宏丰达工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766184.htm
茂名市露天矿生态公园管理处茂名露天矿生态公园重点景观节点市民休憩长廊建设项目的成交公告 | 2020.01.15 | 茂名市露天矿生态公园管理处 | 茂名采联采购招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766183.htm
济宁高新区2020年蓼河公园及海川路（群英路-联华路）春节亮灯工程中标公告 | 2020.01.15 | 济宁高新区市政园林处 | 东方正博项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766165.htm
2019年县级医院提质达标医疗设备购置项目001包中标公示 | 2020.01.15 | 昆明市西山区人民医院 | 西山区政府采购中心中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766168.htm
爱心激励平台纪念品供应服务中标公告 | 2020.01.15 | 北京市红十字血液中心 | 中鼎传鸿（北京）招标代理有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766150.htm
云南省消防救援总队消防车采购项目（F标段：排烟照明类消防车）（三次） | 2020.01.15 | 云南省消防救援总队 | 昆明晨晟招标有限责任公司中标公告 | 云南 | 货物/通用设备/车辆/专用车辆/消防车 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766142.htm
柳林县公安局交通警察大队柳林县公安局交通警察大队智能指挥中心项目中标公告 | 2020.01.15 | 柳林县公安局交通警察大队 | 山西建宇工程咨询有限公司中标公告 | 山西 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766127.htm
云南大学高原湖泊生态研究院进口科研高原湖泊生态与治理设备项目采购中标公告 | 2020.01.15 | 云南大学 | 云南谦和招标有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766111.htm
云南大学科技处云大启迪K栈保洁服务项目采购中标公告 | 2020.01.15 | 云南大学 | 云南谦和招标有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766110.htm
聊城市海源阁图书馆总分馆建设借还书设备采购项目中标公告 | 2020.01.15 | 聊城市海源阁图书馆,聊城市海源阁图书馆 | 山东冠宇招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766116.htm
阳谷县2019年清洁取暖用户侧能效提升项目（郭屯镇九个村）中标公告 | 2020.01.15 | 阳谷县郭屯镇人民政府,阳谷县郭屯镇人民政府 | 阳谷金罡建筑招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766098.htm
儋州市人民医院-高级综合穿刺术与叩诊检查技能训练模拟人等一批模拟训练操作模型-中标公告 | 2020.01.15 | 儋州市人民医院 | 海南政采招投标有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766074.htm
济宁高新区崇文大道（蓼河桥-凯赛桥西）行道树灯光采购及安装工程中标公告 | 2020.01.15 | 济宁高新区市政园林处 | 山东同诚管理咨询股份有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765902.htm
广东省博罗县人民医院博罗县人民医院彩色超声诊断仪购置项目的中标、成交公告 | 2020.01.15 | 广东省博罗县人民医院 | 深圳市振强建设工程管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765921.htm
滁州市儿童福利院食堂设备采购安装项目中标公告 | 2020.01.15 | 滁州市儿童福利院 | 滁州市诚信建设项目管理有限公司中标公告 | 安徽 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765920.htm
2019年度潜山经济开发区企业安全检查和隐患排查技术服务机构项目（第二次）成交候选供应商中标公示 | 2020.01.15 | 安徽省潜山经济开发区管理委员会 | 安徽皖国建设项目管理有限公司中标公告 | 安徽 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765918.htm
全椒县儒林B区、水上新村、广源安置房物业管理项目中标公告 | 2020.01.15 | 全椒县住房和城乡建设局 | 安徽求是工程建设咨询有限公司中标公告 | 安徽 | 服务/维修和保养服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765917.htm
凤阳科技学校基础护理专业实训设备采购项目中标公告 | 2020.01.15 | 凤阳科技学校 | 安徽恒信造价咨询有限公司中标公告 | 安徽 | 货物/建筑建材 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765916.htm
桐城市殡葬管理所告别大厅外长廊生命文化展陈区硬软件采购项目中标公告 | 2020.01.15 | 桐城市殡葬管理所 | 安徽桐信招标咨询有限公司中标公告 | 安徽 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765915.htm
定远县省道334青洛能仁路口、年家岗路口增设交通设施采购项目（三次）中标公告 | 2020.01.15 | 定远县公安局 | 安徽科信工程项目管理咨询有限公司中标公告 | 安徽 | 货物/建筑建材 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765914.htm
怀宁县2020年度中小型水库维修养护项目采购（包三）中标公告 | 2020.01.15 | 怀宁县水利局 | 安徽独秀工程项目管理有限公司中标公告 | 安徽 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765912.htm
怀宁县2020年度中小型水库维修养护项目采购（包一）中标公告 | 2020.01.15 | 怀宁县水利局 | 安徽独秀工程项目管理有限公司中标公告 | 安徽 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765913.htm
怀宁县2020年度中小型水库维修养护项目采购（包二）中标公告 | 2020.01.15 | 怀宁县水利局 | 安徽独秀工程项目管理有限公司中标公告 | 安徽 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765911.htm
怀宁县融媒体中心机房设备及综合布线、两频道高标清同播系统采购项目（包一）中标公告 | 2020.01.15 | 怀宁县融媒体中心 | 怀宁县项目咨询管理有限公司中标公告 | 安徽 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765910.htm
怀宁县融媒体中心机房设备及综合布线、两频道高标清同播系统采购项目（包二）中标公告 | 2020.01.15 | 怀宁县融媒体中心 | 怀宁县项目咨询管理有限公司中标公告 | 安徽 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765909.htm
怀宁县融媒体中心高清生产及媒资系统、（可视化）数字广播系统采购项目（包一）中标公告 | 2020.01.15 | 怀宁县融媒体中心 | 怀宁县项目咨询管理有限公司中标公告 | 安徽 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765908.htm
全椒县中医院迁建工程电子计算机断层扫描系统（CT）设备采购与安装项目中标公告 | 2020.01.15 | 全椒县中医院 | 安徽万千工程项目管理有限公司中标公告 | 安徽 | 货物/建筑建材 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765924.htm
特困供养人员住院医疗护理保险项目（三次）中标公告 | 2020.01.15 | 滁州市民政局 | 安徽诚信建设项目管理有限公司中标公告 | 安徽 | 服务/维修和保养服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765907.htm
安徽居巢经济开发区夏阁园区35kV临时变电站工程变压器设备采购项目中标（成交）公告（二次） | 2020.01.15 | 合肥电力安装有限公司巢湖分公司 | 巢湖市公共资源交易中心中标公告 | 安徽 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765923.htm
阳谷县2019年清洁取暖用户侧能效提升项目（化工厂家属院、水利局家属院、郭屯镇九个村）监理中标公告 | 2020.01.15 | 住房和城乡建设局 | 阳谷金罡建筑招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765888.htm
云南省消防救援总队消防车采购项目（E标段：举高类消防车）（三次）中标公告 | 2020.01.15 | 云南省消防救援总队 | 昆明晨晟招标有限责任公司中标公告 | 云南 | 货物/通用设备/车辆/专用车辆/消防车 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765855.htm
永春县妇幼保健院建设项目污水处理工程结果公告(包1) | 2020.01.15 | 永春县妇幼保健所 | 福建鑫盛项目管理咨询有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13765864.htm
