广西机电设备招标有限公司关于公安厅机关公共机构节能综合改造项目建设采购项目(项目编号：GXZC2019-G1-001548-JDZB)中标结果公告 | 2020.01.23 | 广西壮族自治区公安厅 | 广西机电设备招标有限公司中标公告 | 广西 | 货物/通用设备/电气设备/生活用电器/空气调节电器/空调机,货物/通用设备/机械设备/制冷空调设备/其他制冷空调设备,货物/通用设备/机械设备/制冷空调设备/专用制冷、空调设备,货物/通用设备/ | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808971.htm
宁晋县文化广电体育和旅游局宁晋县文化艺术中心项目中标公告 | 2020.01.23 | 宁晋县文化广电体育和旅游局 | 河北海新工程项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808945.htm
福建省慧通生态农业发展有限公司有机肥颗粒生产线设备货物类采购项目中标公告 | 2020.01.23 | 福建省慧通生态农业发展有限公司 | 福建瑞晟建设工程造价咨询有限公司中标公告 | 福建 | 货物/专用设备/石油和化学工业专用设备/化肥生产装置 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808931.htm
封开县平凤镇卫生院加强基层卫生医疗建设项目的中标、成交公告 | 2020.01.23 | 封开县平凤镇卫生院 | 广东五洲采购电子商务有限公司肇庆分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808919.htm
郑州市固体废弃物综合处理中心-垃圾处理场绿化管养项目中标公告 | 2020.01.23 | 郑州市固体废弃物综合处理中心 | 河南兴达工程咨询有限公司中标公告 | 河南 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808916.htm
江西省谷正工程咨询有限公司关于景德镇景东片区220kV蛇李线电力设施迁改工程施工（招标编号：JG2001-FW-0001-01）中标公示 | 2020.01.23 | 国网江西省电力有限公司景德镇供电分公司 | 江西省谷正工程咨询有限公司中标公告 | 江西 | 工程/专业施工/其他专业施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808920.htm
荣昌区职业教育中心班班通智慧纳米黑板采购（二次采购）(19A0194)结果公告 | 2020.01.23 | 重庆市荣昌区职业教育中心 | 重庆市荣昌区公共资源交易中心中标公告 | 重庆 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808918.htm
郑州市固体废弃物综合处理中心-垃圾处理场作业设备更新购置项目中标公告 | 2020.01.23 | 郑州市固体废弃物综合处理中心 | 河南兴达工程咨询有限公司中标公告 | 河南 | 货物/专用设备/工程机械/挖掘机械 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808898.htm
贵阳市公共卫生救治中心T淋巴细胞检测仪及试剂采购项目中标公告 | 2020.01.23 | 贵阳市公共卫生救治中心 | 贵州闳智项目管理咨询有限公司中标公告 | 贵州 | 货物/专用设备/医疗设备/医用电子生理参数检测仪器设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808903.htm
广西鸿业建设工程管理咨询有限公司2019年柳州市城市管理执法局在编、聘用制工作人员制式服装采购（采购编号：LZG19-718）中标结果公告 | 2020.01.23 | 柳州市城市管理行政执法局 | 广西鸿业建设工程管理咨询有限公司中标公告 | 广西 | 货物/纺织原料、毛皮、被服装具/被服装具/被服/制服 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808905.htm
济南市长清区孝里镇人民政府岚峪村乡村振兴齐鲁样板村创建项目中标公告 | 2020.01.23 | 济南市长清区孝里镇财政所,济南市长清区孝里镇财政所,济南市长清区孝里镇财政所 | 山东华标招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808904.htm
汕头市濠江区河浦街道环卫作业整体外包项目中标公告【采购编号：HY019018】 | 2020.01.23 | 汕头市濠江区河浦街道办事处 | 广东华亿创展建设投资有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808900.htm
郑州市固体废弃物综合处理中心垃圾处理场除臭灭蝇项目中标公告 | 2020.01.23 | 郑州市固体废弃物综合处理中心 | 河南兴达工程咨询有限公司中标公告 | 河南 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808885.htm
