县道X034至长塘镇天堂村坛尧坡道路改扩建工程（QXQZC2019G22970/DCZX19-GX-A003）中标候选人公示 | 2020.01.23 | 南宁市青秀区交通运输局 | 大成工程咨询有限公司中标公告 | 广西 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808469.htm
赤壁市2019年水利设施补短板冬修EPC项目评标结果公示 | 2020.01.23 | 赤壁市水利和湖泊湖局 | 赤壁市木兰工程造价咨询有限公司中标公告 | 湖北 | 工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808397.htm
2019年七星关区对坡镇杉寨社区高标准农田建设项目中标（成交）公告 | 2020.01.23 | 七星关区对坡镇人民政府 | 锐驰项目管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808381.htm
六祖故里旅游度假区2020年春节氛围采购项目的中标、成交公告 | 2020.01.23 | 广东禅文化创意产业园区管委会 | 云浮市中策招标咨询服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808371.htm
北京市东城区人民政府交道口街道办事处垃圾排放登记系统建设项目中标公告 | 2020.01.23 | 北京市东城区人民政府交道口街道办事处 | 北京中城建华工程咨询有限公司中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808396.htm
福鼎市医院百胜新院区一期嵌入式家具（第二批）采购及服务项目货物类采购项目结果公告(包1) | 2020.01.23 | 福鼎市医院 | 福建恒实建设发展有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808357.htm
福鼎市医院百胜新院区一期嵌入式家具（第二批）采购及服务项目货物类采购项目结果公告(包2) | 2020.01.23 | 福鼎市医院 | 福建恒实建设发展有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808359.htm
兰州大学第一医院飞利浦数字化血管造影机维保项目中标公告 | 2020.01.23 | 兰州大学第一医院 | 甘肃西招国际招标有限公司中标公告 | 甘肃 | 服务/医疗卫生和社会服务/医疗卫生服务/医院服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808344.htm
罗定市廷锴纪念中学高考监考员通道视频监控的中标、成交公告 | 2020.01.23 | 罗定市廷锴纪念中学 | 广东道汇项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808342.htm
惠州市惠城区江北街道望江村新寮村民小组惠城区江北街道望江村新寮村民小组留用地村企合作开发前期服务单位采购招标项目中标公告 | 2020.01.23 | 惠州市惠城区江北街道望江村新寮村民小组 | 广东品冠工程顾问有限公司中标公告 | 广东 | 服务/房地产服务/其他房地产服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808346.htm
韶关市武江区2020-2021年度房屋征收服务资格采购项目中标公告 | 2020.01.23 | 韶关市武江区土地和房屋征收事务中心 | 广东合正采购招标有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808345.htm
惠城区江北街道望江村过沥村民小组留用地村企合作开发前期服务单位采购招标项目中标公告 | 2020.01.23 | 惠州市惠城区江北街道望江村过沥村民小组 | 广东品冠工程顾问有限公司中标公告 | 广东 | 服务/房地产服务/其他房地产服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808329.htm
枣庄市薛城区2017基层农技推广体系改革与建设补助项目中标公告 | 2020.01.23 | 枣庄市薛城区农业农村局 | 山东祥润项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808330.htm
中宁县教育体育局2020年营养计划（鸡蛋）采购项目中标公告 | 2020.01.23 | 中宁县教育体育局 | 宁夏宝园招标代理有限公司中标公告 | 宁夏 | 货物/专用设备/食品加工专用设备/屠宰、肉食品及蛋品加工机械,货物/专用设备/食品加工专用设备/屠宰、肉食品及蛋品加工机械,货物/专用设备/食品加工专用设备/屠宰、肉食品及蛋品加工机械, | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808316.htm
青河县塔克什肯镇管网延伸工程项目中标公示 | 2020.01.23 | 青河县农村自来水管理站 | 北京国际工程咨询有限公司中标公告 | 新疆 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808390.htm
惠州市惠城区江北街道望江村民委员会惠城区江北街道望江村民委员会留用地村企合作开发前期服务单位采购招标项目中标公告 | 2020.01.23 | 惠州市惠城区江北街道望江村民委员会 | 广东品冠工程顾问有限公司中标公告 | 广东 | 服务/房地产服务/其他房地产服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808306.htm
北京市香山公园管理处香山公园2020年度零修工程施工单位遴选中标公告 | 2020.01.23 | 北京市香山公园管理处 | 北京京咨博工程项目管理有限公司中标公告 | 北京 | 工程/修缮工程/房屋修缮,工程/修缮工程/文物保护建筑修缮 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808307.htm
重庆市渝中区生态环境局空气质量网格化监测监管系统(19A1030)公开招标（第二次）结果公告 | 2020.01.23 | 重庆市渝中区生态环境局 | 重庆市渝中区交易中心中标公告 | 重庆 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808303.htm
玉门市自然资源局玉门市自然保护地勘界项目中标公告 | 2020.01.23 | 玉门市自然资源局 | 酒泉晟蓉项目管理有限公司中标公告 | 甘肃 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808288.htm
惠阳某单位绿化移植工程中标公告 | 2020.01.23 | 惠阳某单位 | 惠州市瑞满工程咨询有限公司中标公告 | 广东 | 工程/构筑物施工/公共设施施工/园林绿化工程施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808283.htm
珠海市横琴新区公共建设服务中心珠海市横琴新区公共建设服务中心2020年横琴新区（岛内）市政管养采购项目的中标、成交结果调整公告 | 2020.01.23 | 珠海市横琴新区公共建设服务中心 | 华联世纪工程咨询股份有限公司珠海分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808290.htm
聊城公安局江北水城旅游度假区分局执法执勤车辆购买项目中标公告 | 2020.01.23 | 聊城市公安局旅游度假区分局 | 山东聊城天恒招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808289.htm
基层农技推广补助项目物化补助中标公告 | 2020.01.23 | 沂南县农业农村局 | 鲁焱工程技术咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808257.htm
梅州市卫生职业技术学校建设实训室操作室采购项目的中标公告 | 2020.01.23 | 梅州市卫生职业技术学校 | 广东人信工程咨询有限公司梅县分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808256.htm
中卫市体育馆室内比赛灯光设备、监控设备和门禁管理系统采购项目中标公告 | 2020.01.23 | 中卫市旅游和文化体育广电局 | 中联国际工程管理有限公司中标公告 | 宁夏 | 工程/建筑安装工程/电子工程安装/监控系统工程安装,工程/建筑安装工程/电力系统安装/建筑物照明设备安装 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808238.htm
自治区互联网医院一键评采购项目中标公告 | 2020.01.23 | 宁夏回族自治区卫生健康委员会 | 宁夏国际招标咨询集团有限公司中标公告 | 宁夏 | 服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808233.htm
曲水县财政局（采购中心）曲水县中小学幼儿园“三包”暨中小学“营养改善”食品采购中标公告 | 2020.01.23 | 曲水县财政局（采购中心） | 西藏康玥项目管理有限公司中标公告 | 西藏 | 货物/农林牧渔业产品/农产品/农作物副产品/其他农作物副产品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808232.htm
广州市市场监督管理局广州市市场监督管理局选择2020年食品（含食用农产品）快速检测技术服务机构项目(一）的中标、成交公告 | 2020.01.23 | 广州市市场监督管理局 | 广东广招招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808202.htm
东阿县城区环卫市场化运作项目中标公告 | 2020.01.23 | 东阿县综合行政执法局,东阿县综合行政执法局,东阿县综合行政执法局 | 山东省经纬招标造价咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808203.htm
驻辽某军事单位专业教学楼设计中标公告 | 2020.01.23 | 驻辽某军事单位 | 辽宁浩亿招投标有限公司中标公告 | 辽宁 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808294.htm
中卫市体育馆室内比赛灯光设备、监控设备和门禁管理系统采购项目竞争性谈判采购结果公告 | 2020.01.23 | 中卫市旅游和文化体育广电局 | 中联国际工程管理有限公司中标公告 | 宁夏 | 工程/建筑安装工程/电力系统安装/建筑物照明设备安装,工程/建筑安装工程/电子工程安装/监控系统工程安装 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808187.htm
卢龙县2020年大新庄至西吴庄等革命老区道路改造工程成交公告 | 2020.01.23 | 卢龙县财政局 | 河北泓远工程项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808186.htm
新兴县固体废弃物处理中心渗滤液继续外运处理的中标、成交公告 | 2020.01.23 | 新兴县环境卫生管理所 | 云浮市中策招标咨询服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808174.htm
厦门方信-公开招标-FX2019-SH436B-同安区社区矫正工作非执法类服务采购-结果公告 | 2020.01.23 | 厦门市同安区司法局 | 厦门方信采购招标有限公司中标公告 | 福建 | 服务/医疗卫生和社会服务/社会服务/其他社会服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808276.htm
广州市南沙区文化发展中心总分馆体制运行管理服务外包项目（CLF0119GZ12ZC34）的中标公告 | 2020.01.23 | 广州市南沙区文化发展中心 | 广东采联采购科技有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808143.htm
永吉县西阳镇人民政府永吉县新型建材特色小镇征迁服务招标中标公告 | 2020.01.23 | 永吉县西阳镇人民政府 | 吉林昕恒工程项目管理有限公司中标公告 | 吉林 | 服务/房地产服务/其他房地产服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808149.htm
枣庄市峄城区阴平镇人民政府购买环卫车辆采购项目中标公告 | 2020.01.23 | 枣庄市峄城区阴平镇人民政府 | 山东开元隆兴工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808147.htm
邵武市交通运输局邵武市交通运输局公路路面动态检测技术监控系统建设项目货物类采购项目结果公告(包1) | 2020.01.23 | 邵武市交通运输局 | 福建翔远招标咨询有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808146.htm
2019福州市殡仪馆物业招标服务类采购项目结果公告(包1) | 2020.01.23 | 福州市殡仪馆 | 福建省远鸿招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808151.htm
南京市2020-2022年排水管网检测项目中标公告 | 2020.01.23 | 南京市水务设施管理中心 | 江苏省设备成套有限公司中标公告 | 江苏 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808144.htm
广西科文招标有限公司基于低功耗的物联网监控服务集成系统采购(重)（GXZC2019-G3-26858-KWZB）中标结果公告 | 2020.01.23 | 广西壮族自治区卫生健康委员会 | 广西科文招标有限公司中标公告 | 广西 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808242.htm
莒县人民医院DR拍片机、数字胃肠机DRF、B超机保修采购项目A包中标公告 | 2020.01.23 | 莒县人民医院 | 日照兴杰工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808104.htm
四川理工技师学院学府校区扩建项目及教学实训综合大楼全过程造价咨询服务中标公告 | 2020.01.23 | 四川理工技师学院 | 德汇工程管理(北京)有限公司中标公告 | 四川 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808218.htm
仙游兴鸿环保电力有限公司仙游县垃圾处理（焚烧发电）物业管理服务采购项目中标公告 | 2020.01.23 | 仙游兴鸿环保电力有限公司 | 莆田市中恒信招标代理有限公司中标公告 | 福建 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808098.htm
遂溪县公安局遂溪县交通信号灯及电子警察系统项目（GDFL1902A09N452）的中标、成交公告 | 2020.01.23 | 遂溪县公安局 | 广东丰联招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808077.htm
阳朔县教育局阳朔县兴坪镇初级中学项目、阳朔县福利镇初级中学项目设计-采购-施工（EPC）工程总承包监理服务中标公告 | 2020.01.23 | 阳朔县教育局 | 广西鼎策工程顾问有限责任公司中标公告 | 广西 | 服务/工程咨询管理服务/工程监理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808082.htm
徐汇滨江B、C单元剩余地块土地储备项目土地前期费用成本估算编制中标公告 | 2020.01.23 | 上海徐汇滨江开发投资建设有限公司 | 上海大华工程造价咨询有限公司中标公告 | 上海 | 服务/工程咨询管理服务/其他工程咨询管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808057.htm
开放空间（一期）-林产品地块土地委托管护项目（2020-2021年度）中标公告 | 2020.01.23 | 上海徐汇滨江开发投资建设有限公司 | 上海大华工程造价咨询有限公司中标公告 | 上海 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808076.htm
云浮市第一中学云浮市第一中学罗桂桥校区新建教学楼建设项目的中标、成交公告 | 2020.01.23 | 云浮市第一中学 | 广东明正项目管理有限公司云浮分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808064.htm
剑河县2007年及以前年度天保公益林建设结余资金义务植树造林绿化建设项目中标（成交）公告 | 2020.01.23 | 剑河县林业局 | 贵州锦顺鑫源项目管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808062.htm
南平市建阳区建盏旅游发展有限公司建阳区水吉镇建盏文化小镇修建性规划中标公告 | 2020.01.23 | 南平市建阳区建盏旅游发展有限公司 | 福建瑞晟建设工程造价咨询有限公司中标公告 |  | 服务/公共设施管理服务/城市规划和设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808074.htm
东阿县姚寨镇人民政府城乡环卫一体化服务项目中标公告 | 2020.01.23 | 东阿县姚寨镇人民政府 | 天勤工程咨询有限公司聊城分公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808061.htm
阳朔县创业服务中心项目设计采购施工一体化工程总承包中标候选人公示 | 2020.01.23 | 阳朔县阳宏投资发展有限公司 | 广西振弘建设管理有限公司中标公告 | 广西 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808178.htm
云之龙招标集团有限公司医技综合楼模块化数据中心机房项目BSZC2019-G1-000393-YZLZ中标结果公告 | 2020.01.23 | 百色市人民医院 | 云之龙招标集团有限公司中标公告 | 广西 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808052.htm
易县第三高级中学建设项目施工中标公告 | 2020.01.23 | 易县教育和体育局 | 河北广联盛达工程管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808079.htm
巫山县校园监控平台和一键报警平台设备采购(19A00571)结果公告 | 2020.01.23 | 巫山县教育委员会 | 巫山县公共资源交易中心中标公告 | 重庆 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808048.htm
岗度镇2019年下半年龙须菜种植项目（二期）中标（成交）公告 | 2020.01.23 | 惠水县岗度镇人民政府 | 广东省广大工程顾问有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808068.htm
莱州市教体局部分学校安保服务项目中标公告 | 2020.01.23 | 莱州市教育和体育局 | 烟台天润招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808075.htm
紫云自治县民族宗教事务局白石岩乡基础设施建设项目竞争性谈判中标（成交）公告 | 2020.01.23 | 紫云自治县民族宗教事务局 | 贵州宣宏招标有限责任公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808073.htm
广西科联招标中心有限公司广西电力职业技术学院新校区建设项目（一期）工程检测项目(GXZC2019-G3-000758-KLZB)中标公告 | 2020.01.23 | 广西电力职业技术学院 | 广西科联招标中心有限公司中标公告 | 广西 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808050.htm
大连银行股份有限公司第一中心支行下辖部分支行2020年员工送餐服务项目中标公告 | 2020.01.23 | 大连银行股份有限公司第一中心支行 | 大连理工招标代理有限公司中标公告 | 辽宁 | 服务/住宿和餐饮服务/餐饮服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808158.htm
北京市昌平区霍营社区卫生服务中心办公、医疗等设备购置项目（第九包、第十二包）二次中标公告 | 2020.01.23 | 北京市昌平区霍营社区卫生服务中心 | 中招商祺（北京）工程管理有限公司中标公告 | 北京 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808081.htm
上海上投招标有限公司关于2020年度市局零星及小型房修项目协议采购单位--施工监理中标公告 | 2020.01.23 | 上海市公安局 | 上海上投招标有限公司中标公告 | 上海 | 服务/工程咨询管理服务/工程监理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808015.htm
复旦大学附属中山医院血管内超声检测系统中标公告 | 2020.01.23 | 复旦大学附属中山医院 | 上海机电设备招标有限公司中标公告 | 上海 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202001/t20200123_13808132.htm
金昌市机关事务管理局金昌市市级党政机关公务用车定点维修保养（2019-2022年）资格入围项目中标公告 | 2020.01.23 | 金昌市机关事务管理局 | 金昌市政府集中采购代理中心中标公告 | 甘肃 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808032.htm
海丰县附城镇人民政府海丰县附城镇农村片区环卫清扫保洁及垃圾清运服务的中标、成交公告 | 2020.01.23 | 海丰县附城镇人民政府 | 广东公正招标服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808019.htm
平邑县财政局项目预算管理系统软件升级项目中标公告 | 2020.01.23 | 平邑县财政局 | 山东海纳建设项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808021.htm
吉林市交通投资建设有限责任公司交通基础设施智能管理系统项目中标公告 | 2020.01.23 | 吉林市交通投资建设有限责任公司 | 吉林省鸿园招标代理有限公司中标公告 | 吉林 | 服务/信息技术服务/信息系统集成实施服务/其他系统集成实施服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808017.htm
贵港市覃塘区城市管理监督局广西贵港市覃塘区全域旅游PPP项目社会资本采购中标公告 | 2020.01.23 | 贵港市覃塘区城市管理监督局 | 国信招标集团股份有限公司中标公告 | 广西 | PPP | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808020.htm
大连银行股份有限公司第一中心支行及下辖支行物业管理及保洁服务项目中标公告 | 2020.01.23 | 大连银行股份有限公司第一中心支行 | 大连理工招标代理有限公司中标公告 | 辽宁 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808112.htm
广西建通工程咨询有限责任公司双燃料出租汽车采购（重）（第一标段）中标结果公告 | 2020.01.23 | 百色市鼎诚公交有限公司 | 广西建通工程咨询有限责任公司中标公告 | 广西 | 货物/通用设备/车辆/其他车辆 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808110.htm
山东省烟台市龙口市水务局龙口市2019年农业水价改革信息化工程设备采购及安装项目中标公告 | 2020.01.23 | 龙口市水务局 | 山东环宇项目管理有限公司烟台一公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808028.htm
抚顺市第十中学抚顺市十中绿化补植工程中标公告 | 2020.01.23 | 抚顺市第十中学 | 辽宁友诚招标代理有限公司中标公告 | 辽宁 | 工程/专业施工/其他专业施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808089.htm
中共抚顺县委党校电子化建设服务采购项目中标公告 | 2020.01.23 | 中共抚顺县委党校 | 辽宁友诚招标代理有限公司中标公告 | 辽宁 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807802.htm
2020-2021工程监理服务项目中标结果公告 | 2020.01.23 | 深圳信息职业技术学院 | 广东采联采购科技有限公司中标公告 | 广东 | 服务/工程咨询管理服务/工程监理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807856.htm
中宁县教育体育局2020年营养计划（大米）采购项目中标公告 | 2020.01.23 | 中宁县教育体育局 | 宁夏恒瑞招标代理有限公司中标公告 | 宁夏 | 货物/食品、饮料和烟草原料/食品及加工盐/其他食品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807862.htm
秦皇岛市北戴河区住房和城乡建设局北戴河区鸽赤路积水改造工程成交公告 | 2020.01.23 | 秦皇岛市北戴河区住房和城乡建设局 | 秦皇岛市中建工程经济咨询有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807954.htm
紫云自治县民族宗教事务局格凸河镇、四大寨乡基础设施建设项目竞争性谈判中标（成交）公告 | 2020.01.23 | 紫云自治县民族宗教事务局 | 贵州宣宏招标有限责任公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807666.htm
东回舍镇北西庄村田间道路硬化项目中标公告 | 2020.01.23 | 平山县回舍镇财政所 | 河北智聚招标代理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807700.htm
长春市宽城区兰家镇人民政府2020年度集中采购目录以外、限额标准以下第三方服务机构和施工单位公开招标项目中标公告 | 2020.01.23 | 长春市宽城区兰家镇人民政府 | 吉林省天利招标代理有限公司中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807574.htm
国家税务总局凯里市税务局纳税辅助性服务(二次)中标公告 | 2020.01.23 | 国家税务总局凯里市税务局 | 贵州阳光致诚投资咨询有限公司中标公告 | 贵州 | 服务/商务服务/税务服务/其他税务服务 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202001/t20200123_13807552.htm
甘肃省肿瘤医院彩色多普勒超声诊断仪项目中标公告 | 2020.01.23 | 甘肃省肿瘤医院 | 甘肃西招国际招标有限公司中标公告 | 甘肃 | 货物/专用设备/医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807479.htm
秦皇岛市海港区环卫处新接道路项目清洁卫生车辆采购中标公告 | 2020.01.23 | 海港区环卫处 | 河北建胜工程项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807485.htm
甘肃省肿瘤医院等离子双极电切电凝系统项目中标公告 | 2020.01.23 | 甘肃省肿瘤医院 | 甘肃西招国际招标有限公司中标公告 | 甘肃 | 货物/专用设备/医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807478.htm
中国人民解放军广东省江门市蓬江区人民武装部物业管理服务项目中标公告 | 2020.01.23 | 中国人民解放军广东省江门市蓬江区人民武装部 | 广东远东招标代理有限公司中标公告 | 广东 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807486.htm
博白县水利局博白县火甲灌区节水配套改造项目勘察设计测量服务中标公告 | 2020.01.23 | 博白县水利局 | 广西银泰工程管理有限公司中标公告 | 广西 | 服务/水利管理服务/其他水利管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13808038.htm
马坡镇2019年市、县级财政专项资金及金融扶贫调剂资金温室大棚项目中标公告 | 2020.01.23 | 微山县马坡镇人民政府 | 山东同诚管理咨询股份有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807451.htm
留庄镇沙堤村乡村民宿旅游项目中标公告 | 2020.01.23 | 微山县留庄镇人民政府 | 山东同诚管理咨询股份有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807445.htm
平和县智慧排水系统提标工程结果公告(包1) | 2020.01.23 | 福建平和城市建设投资开发有限公司 | 福建安华发展有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807455.htm
肥乡区团结渠杜堡桥节点亮化工程中标公告 | 2020.01.23 | 肥乡县住建局 | 邯郸市创信工程造价咨询有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807395.htm
井陉县绵蔓河污水管网工程勘察设计中标公告 | 2020.01.23 | 井陉县住房和城乡建设局 | 中大宇辰项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807394.htm
安庆市第一人民医院电子胆道镜系统采购中标候选人公示 | 2020.01.23 | 安庆市第一人民医院 | 安庆市公共资源交易中心中标公告 | 安徽 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807407.htm
望江县2019年中小学智慧课堂建设项目采购二包：望江县毛安中心学校等8校智慧课堂建设项目采购中标公告 | 2020.01.23 | 望江县教育局 | 望江县项目咨询管理有限公司中标公告 | 安徽 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807421.htm
望江县2019年中小学智慧课堂建设项目采购一包：望江县雷池初中等9校智慧课堂建设项目采购中标结果公告 | 2020.01.23 | 望江县教育局 | 望江县项目咨询管理有限公司中标公告 | 安徽 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13807414.htm
